species_id,common_name,scientific_name
25752,Brown Woodland-warbler,Phylloscopus umbrovirens
11565,Brown-and-white Barbet,
36124,Brown-and-yellow Marshbird,Pseudoleistes virescens
17944,Brown-backed Chat-tyrant,Ochthoeca fumicolor
4987,Brown-backed Dove,
32097,Brown-backed Flowerpecker,Pachyglossa everetti
11609,Brown-backed Honeybird,Prodotiscus regulus
18977,Brown-backed Honeyeater,Ramsayornis modestus
29716,Brown-backed Mockingbird,Mimus dorsalis
2488,Brown-backed Needletail,Hirundapus giganteus
13155,Brown-backed Parrotlet,Touit melanonotus
30873,Brown-backed Scrub-robin,Cercotrichas hartlaubi
30173,Brown-backed Solitaire,Myadestes occidentalis
21028,Brown-backed Whistler,Pachycephala modesta
12095,Brown-backed Woodpecker,Dendropicos obsoletus
16598,Brown-banded Antpitta,Grallaria milleri
10990,Brown-banded Puffbird,Notharchus ordii
5801,Brown-banded Rail,Lewinia mirifica
15729,Brown-bellied Stipplethroat,Epinecrophylla gutturalis
25201,Brown-bellied Swallow,Orochelidon murina
14839,Brown-billed Scythebill,Campylorhamphus pusillus
17349,Brown-breasted Bamboo-tyrant,Hemitriccus obsoletus
11587,Brown-breasted Barbet,Pogonornis melanopterus
24971,Brown-breasted Bulbul,Pycnonotus xanthorrhous
31067,Brown-breasted Flycatcher,Muscicapa muttui
19826,Brown-breasted Gerygone,Gerygone ruficollis
10414,Brown-breasted Kingfisher,Halcyon gularis
13451,Brown-breasted Parakeet,Pyrrhura calliptera
28113,Brown-capped Babbler,Pellorneum fuscocapillus
4802,Brown-capped Emerald Dove,Chalcophaps longirostris
21970,Brown-capped Fantail,Rhipidura diluta
28335,Brown-capped Laughingthrush,Trochalopteron austeni
34300,Brown-capped Rosy-finch,Leucosticte australis
15270,Brown-capped Tit-spinetail,Leptasthenura fuliginiceps
16994,Brown-capped Tyrannulet,Ornithion brunneicapillus
21507,Brown-capped Vireo,Vireo leucophrys
33184,Brown-capped Weaver,Ploceus insignis
36500,Brown-capped Whitestart,Myioborus brunniceps
24709,Brown-cheeked Bulbul,Alophoixus bres
28281,Brown-cheeked Fulvetta,Alcippe poioicephala
10132,Brown-cheeked Hornbill,Bycanistes cylindricus
28361,Brown-cheeked Laughingthrush,Trochalopteron henrici
31336,Brown-chested Alethe,Chamaetylas poliocephala
11111,Brown-chested Barbet,Capito brunneipectus
31223,Brown-chested Jungle-flycatcher,Cyornis brunneatus
6522,Brown-chested Lapwing,Vanellus superciliosus
25151,Brown-chested Martin,Progne tapera
18158,Brown-crested Flycatcher,Myiarchus tyrannulus
27877,Brown-crowned Scimitar-babbler,Pomatorhinus phayrei
20156,Brown-crowned Tchagra,Tchagra australis
24826,Brown-eared Bulbul,Hypsipetes amaurotis
11892,Brown-eared Woodpecker,Pardipicus caroli
11590,Brown-faced Barbet,Pogonornis minor
3727,Brown-faced Go-away-bird,Crinifer personatus
37380,Brown-flanked Tanager,Thlypopsis pectoralis
12017,Brown-fronted Woodpecker,Dendrocoptes auriceps
26868,Brown-headed Apalis,Apalis alticola
11301,Brown-headed Barbet,Psilopogon zeylanicus
36025,Brown-headed Cowbird,Molothrus ater
23053,Brown-headed Crow,Corvus fuscicapillus
21402,Brown-headed Greenlet,Hylophilus brunneiceps
7104,Brown-headed Gull,Chroicocephalus brunnicephalus
19322,Brown-headed Honeyeater,Melithreptus brevirostris
29546,Brown-headed Nuthatch,Sitta pusilla
10348,Brown-headed Paradise-kingfisher,Tanysiptera danae
13132,Brown-headed Parrot,Poicephalus cryptoxanthus
30565,Brown-headed Thrush,Turdus chrysolaus
7102,Brown-hooded Gull,Chroicocephalus maculipennis
10430,Brown-hooded Kingfisher,Halcyon albiventris
13206,Brown-hooded Parrot,Pyrilia haematotis
13114,Brown-necked Parrot,Poicephalus fuscicollis
23125,Brown-necked Raven,Corvus ruficollis
35010,Brown-rumped Bunting,Emberiza affinis
15203,Brown-rumped Foliage-gleaner,Automolus melanopezus
20588,Brown-rumped Minivet,Pericrocotus cantonensis
34600,Brown-rumped Seedeater,Crithagra tristriata
16825,Brown-rumped Tapaculo,Scytalopus latebricola
31076,Brown-streaked Flycatcher,Muscicapa williamsoni
26794,Brown-tailed Apalis,
31958,Brown-tailed Chat,Oenanthe scotocerca
11313,Brown-throated Barbet,Psilopogon corvinus
27211,Brown-throated Fulvetta,Fulvetta ludlowi
13487,Brown-throated Parakeet,Eupsittula pertinax
32298,Brown-throated Sunbird,Anthreptes malacensis
20073,Brown-throated Wattle-eye,Platysteira cyanea
10395,Brown-winged Kingfisher,Pelargopsis amauroptera
18530,Brown-winged Mourner,Schiffornis turdina
27291,Brown-winged Parrotbill,Suthora brunnea
29816,Brown-winged Starling,Aplonis grandis
16959,Brownish Elaenia,Elaenia pelzelni
17500,Brownish Twistwing,Cnipodectes subbrunneus
25509,Brownish-flanked Bush-warbler,Horornis fortipes
16335,Brownish-headed Antbird,Myrmelastes brunneiceps
20273,Brubru,Nilaus afer
5228,Bruce's Green-pigeon,Treron waalia
4819,Brush Bronzewing,Phaps elegans
172,Brushland Tinamou,Nothoprocta cinerascens
7579,Bryan's Shearwater,Puffinus bryani
26365,Bubbling Cisticola,Cisticola bulliens
12844,Buckley's Forest-falcon,Micrastur buckleyi
14107,Budgerigar,Melopsittacus undulatus
26213,Buff-banded Bushbird,Cincloramphus bivittatus
5834,Buff-banded Rail,Gallirallus philippensis
17043,Buff-banded Tyrannulet,Mecocerculus hellmayri
25671,Buff-barred Warbler,Phylloscopus pulcher
2736,Buff-bellied Hermit,Phaethornis subochraceus
3607,Buff-bellied Hummingbird,Amazilia yucatanensis
33481,Buff-bellied Mannikin,Lonchura melaena
22294,Buff-bellied Monarch,Neolalage banksiana
23927,Buff-bellied Penduline-Tit,
34083,Buff-bellied Pipit,Anthus rubescens
10987,Buff-bellied Puffbird,Notharchus swainsoni
37361,Buff-bellied Tanager,Thlypopsis inornata
26763,Buff-bellied Warbler,Phyllolais pulchella
28139,Buff-breasted Babbler,Pellorneum tickelli
6341,Buff-breasted Buttonquail,Turnix olivii
15015,Buff-breasted Earthcreeper,Upucerthia validirostris
17754,Buff-breasted Flycatcher,Empidonax fulvifrons
37657,Buff-breasted Mountain-tanager,Dubusia taeniata
10341,Buff-breasted Paradise-kingfisher,Tanysiptera sylvia
3451,Buff-breasted Sabrewing,Campylopterus duidae
6819,Buff-breasted Sandpiper,Calidris subruficollis
17398,Buff-breasted Tody-tyrant,Hemitriccus mirandae
37392,Buff-breasted Warbling-finch,Microspingus lateralis
31910,Buff-breasted Wheatear,Oenanthe bottae
29123,Buff-breasted Wren,Cantorchilus leucotis
36777,Buff-bridled Inca-finch,Incaspiza laeta
671,Buff-browed Chachalaca,Ortalis superciliaris
15107,Buff-browed Foliage-gleaner,Syndactyla rufosuperciliata
21451,Buff-cheeked Greenlet,Pachysylvia muscicapina
17443,Buff-cheeked Tody-flycatcher,Poecilotriccus senex
1981,Buff-collared Nightjar,Antrostomus ridgwayi
3835,Buff-crested Bustard,Lophotis gindiana
5138,Buff-eared Brown-dove,
13608,Buff-faced Pygmy-parrot,Micropsitta pusio
19680,Buff-faced Scrubwren,Aethomyias perspicillatus
15143,Buff-fronted Foliage-gleaner,Dendroma rufa
9098,Buff-fronted Owl,Aegolius harrisii
5003,Buff-fronted Quail-Dove,Zentrygon costaricensis
3902,Buff-headed Coucal,Centropus milo
7844,Buff-necked Ibis,Theristicus caudatus
12776,Buff-necked Woodpecker,Meiglyptes tukki
19747,Buff-rumped Thornbill,Acanthiza reguloides
36368,Buff-rumped Warbler,Myiothlypis fulvicauda
31939,Buff-rumped Wheatear,Oenanthe moesta
12769,Buff-rumped Woodpecker,Meiglyptes grammithorax
23434,Buff-sided Robin,Poecilodryas cerviniventris
12709,Buff-spotted Flameback,Chrysocolaptes lucidus
5635,Buff-spotted Flufftail,Sarothrura elegans
11884,Buff-spotted Woodpecker,Pardipicus nivosus
31844,Buff-streaked Chat,Campicoloides bifasciatus
3162,Buff-tailed Coronet,Boissonneaua flavescens
2678,Buff-tailed Sicklebill,Eutoxeres condamini
3053,Buff-thighed Puffleg,Haplophaedia assimilis
