species_id,avilist_common_name,scientific_name
7924,New Zealand Little Bittern,Ixobrychus novaezelandiae
7980,Dimorphic Egret,Egretta dimorpha
8059,Western Cattle Egret,Bubulcus ibis
8074,Great White Heron,Ardea occidentalis
8296,Congo Serpent-eagle,Dryotriorchis spectabilis
8394,Crested Goshawk,Accipiter trivirgatus
8406,Sulawesi Goshawk,Accipiter griseiceps
8426,Chestnut-flanked Sparrowhawk,Accipiter castanilius
8429,African Goshawk,Accipiter tachiro
8432,Red-chested Goshawk,Accipiter toussenelii
8440,Red-legged Sparrowhawk,Accipiter erythropus
8443,Little Sparrowhawk,Accipiter minullus
8446,Besra,Accipiter virgatus
8458,Dwarf Sparrowhawk,Accipiter nanus
8459,Rufous-necked Sparrowhawk,Accipiter erythrauchen
8462,Collared Sparrowhawk,Accipiter cirrocephalus
8466,New Britain Sparrowhawk,Accipiter brachyurus
8467,Vinous-breasted Sparrowhawk,Accipiter rhodogaster
8471,Japanese Sparrowhawk,Accipiter gularis
8476,Levant Sparrowhawk,Accipiter brevipes
8477,Shikra,Accipiter badius
8485,Nicobar Sparrowhawk,Accipiter butleri
8488,Chinese Sparrowhawk,Accipiter soloensis
8489,Frances's Sparrowhawk,Accipiter francesiae
8494,Spot-tailed Goshawk,Accipiter trinotatus
8495,Grey-headed Goshawk,Accipiter poliocephalus
8496,New Britain Goshawk,Accipiter princeps
8497,Grey Goshawk,Accipiter novaehollandiae
8499,Variable Goshawk,Accipiter hiogaster
8500,Lesser Sundas Goshawk,Accipiter sylvestris
8523,Imitator Goshawk,Accipiter imitator
8524,Black-mantled Goshawk,Accipiter melanochlamys
8527,Pied Goshawk,Accipiter albogularis
8533,Fiji Goshawk,Accipiter rufitorques
8534,Moluccan Goshawk,Accipiter henicogrammus
8535,Slaty-backed Goshawk,Accipiter luteoschistaceus
8536,White-bellied Goshawk,Accipiter haplochrous
8537,Brown Goshawk,Accipiter fasciatus
8567,White-breasted Hawk,Accipiter chionogaster
8569,Plain-breasted Hawk,Accipiter ventralis
8571,Rufous-thighed Hawk,Accipiter erythronemius
8584,Bicolored Hawk,Accipiter bicolor
8591,Cooper's Hawk,Accipiter cooperii
8592,Gundlach's Hawk,Accipiter gundlachi
8595,Eurasian Goshawk,Accipiter gentilis
8607,Meyer's Goshawk,Accipiter meyerianus
8608,Black Sparrowhawk,Accipiter melanoleucus
8611,Henst's Goshawk,Accipiter henstii
8639,Tiny Hawk,Accipiter superciliosus
8642,Semi-collared Hawk,Accipiter collaris
8657,Yellow-billed Kite,Milvus aegyptius
8676,African Fish-eagle,Haliaeetus vocifer
8677,Madagascar Fish-eagle,Haliaeetus vociferoides
8678,White-bellied Sea-eagle,Haliaeetus leucogaster
8679,Sanford's Sea-eagle,Haliaeetus sanfordi
8851,Cape Verde Buzzard,Buteo bannermani
8867,Lesser Sooty-owl,Tyto multipunctata
9069,Collared Owlet,Glaucidium brodiei
9072,Sunda Owlet,Glaucidium sylvaticum
9199,Chestnut Owlet,Glaucidium castaneum
9209,Northern Pygmy-owl,Glaucidium californicum
9216,Baja Pygmy-owl,Glaucidium hoskinsii
9218,Guatemalan Pygmy-owl,Glaucidium cobanense
9296,Torotorka Scops-Owl,Otus madagascariensis
9306,Reunion Owl,Mascarenotus grucheti
9307,Mauritius Owl,Mascarenotus sauzieri
9308,Rodrigues Owl,Mascarenotus murivorus
9339,Annobon Scops-owl,Otus feae
9428,Palau Owl,Pyrroglaux podargina
9434,Jamaican Owl,Pseudoscops grammicus
9473,Fearful Owl,Nesasio solomonensis
9538,Fraser's Eagle-owl,Bubo poensis
9542,Akun Eagle-owl,Bubo leucostictus
9543,Verreaux's Eagle-owl,Bubo lacteus
9544,Shelley's Eagle-owl,Bubo shelleyi
9545,Blakiston's Eagle-owl,Bubo blakistoni
9562,Barred Eagle-owl,Bubo sumatranus
9566,Spot-bellied Eagle-owl,Bubo nipalensis
9569,Dusky Eagle-owl,Bubo coromandus
9572,Philippine Eagle-owl,Bubo philippensis
9650,Vermiculated Screech-owl,Megascops vermiculatus
9736,Maghreb Owl,Strix mauritanica
9790,Mottled Owl,Ciccaba virgata
9798,Black-and-white Owl,Ciccaba nigrolineata
9799,Black-banded Owl,Ciccaba huhula
9802,Rufous-banded Owl,Ciccaba albitarsis
9931,Hispaniolan Trogon,Temnotrogon roseigaster
9971,Northern Surucua Trogon,Trogon aurantius
10127,Eastern Piping Hornbill,Bycanistes sharpii
10163,Southern Rufous Hornbill,Buceros mindanensis
10285,Black-headed Kingfisher,Actenoides capucinus
10313,Black-faced Kingfisher,Lacedo melanops
10571,Moorea Kingfisher,Todiramphus youngi
10575,Niau Kingfisher,Todiramphus gertrudae
10613,Principe Kingfisher,Corythornis nais
10615,Sao Tome Kingfisher,Corythornis thomensis
10669,South Philippine Dwarf-Kingfisher,Ceyx mindanensis
10710,Southern Indigo-banded Kingfisher,Ceyx nigrirostris
10944,Cerise-crowned Jacamar,Galbula chalcocephala
10992,Lesser Pied Puffbird,Notharchus subtectus
10997,Chestnut-capped Puffbird,Cyphos macrodactylus
11000,Spotted Puffbird,Nystactes tamatia
11007,Sooty-capped Puffbird,Nystactes noanamae
11034,Lesser Crescent-chested Puffbird,Malacoptila minor
11133,Flame-throated Barbet,Eubucco aurantiicollis
11147,Blue-cowled Barbet,Eubucco steerii
11149,Blue-chinned Barbet,Eubucco glaucogularis
11168,Cuvier's Toucan,Ramphastos cuvieri
11178,Citron-throated Toucan,Ramphastos citreolaemus
11181,Yellow-ridged Toucan,Ramphastos culminatus
11186,Ariel Toucan,Ramphastos ariel
11193,Humboldt's Araçari,Pteroglossus humboldti
11200,Western Red-necked Araçari,Pteroglossus sturmii
11224,Stripe-billed Araçari,Pteroglossus sanguineus
11242,Green-billed Toucanet,Selenidera langsdorffii
11249,Wagler's Toucanet,Aulacorhynchus wagleri
11257,Blue-throated Toucanet,Aulacorhynchus caeruleogularis
11269,Black-throated Toucanet,Aulacorhynchus atrogularis
11270,Black-billed Toucanet,Aulacorhynchus cyanolaemus
11288,Yellow-billed Toucanet,Aulacorhynchus calorhynchus
11402,Togo Yellow-billed Barbet,Trachylaemus togoensis
11426,Emin's Barbet,Trachyphonus emini
11428,Usambiro Barbet,Trachyphonus usambiro
11438,Grey-headed Barbet,Gymnobucco cinereiceps
11447,Pale-throated Barbet,Gymnobucco vernayi
11452,White-lined Barbet,Stactolaema leucogrammica
11497,White-chested Tinkerbird,Pogoniulus makawai
11517,Western Yellow-spotted Barbet,Buccanodon dowsetti
11565,Brown-and-white Barbet,Lybius senex
11570,White-bellied Barbet,Lybius leucogaster
11593,White-faced Barbet,Pogonornis macclounii
11703,Black-spotted Piculet,Picumnus nigropunctatus
11777,Grey-and-buff Woodpecker,Hemicircus sordidus
11933,Little Spotted Woodpecker,Campethera cailliautii
11946,Sulawesi Pygmy Woodpecker,Picoides temminckii
11947,Indian Pygmy Woodpecker,Picoides nanus
11952,Grey-capped Woodpecker,Picoides canicapillus
11970,Philippine Pygmy Woodpecker,Picoides maculatus
11977,Sulu Pygmy Woodpecker,Picoides ramsayi
11980,Sunda Pygmy Woodpecker,Picoides moluccensis
11984,Japanese Pygmy Woodpecker,Picoides kizuki
12009,Dark-bodied Woodpecker,Picoides funebris
12016,Arabian Woodpecker,Dendropicos dorae
12017,Brown-fronted Woodpecker,Leiopicus auriceps
12020,Middle Spotted Woodpecker,Leiopicus medius
12033,Bearded Woodpecker,Dendropicos namaquus
12039,Yellow-crested Woodpecker,Dendropicos xantholophus
